Time;KBIn;PktIn;KBOut;PktOut
18:04:13;2;16;1;13
18:04:14;3;17;3;15
18:04:15;1;3;2;7
18:04:16;2;15;1;12
18:04:17;3;18;3;18
18:04:18;1;3;2;5
18:04:19;2;16;1;11
18:04:20;3;17;3;15
18:04:21;1;4;2;5
18:04:22;2;15;1;11
18:04:23;3;17;3;15
18:04:24;0;1;0;1
18:04:25;3;17;3;15
18:04:26;2;9;2;10
18:04:27;1;11;1;7
18:04:28;3;17;3;15
18:04:29;1;4;2;6
18:04:30;2;15;1;12
18:04:31;3;17;3;16
18:04:32;2;7;3;9
18:04:33;2;15;1;12
18:04:34;3;17;3;15
18:04:35;1;3;2;5
18:04:36;2;15;1;11
18:04:37;3;18;3;15
18:04:38;1;3;2;5
18:04:39;2;15;1;11
18:04:40;3;17;3;15
18:04:41;1;2;2;4
18:04:42;2;17;1;13
18:04:43;3;16;3;17
18:04:44;0;2;0;2
18:04:45;3;17;3;16
18:04:46;1;4;2;6
18:04:47;2;14;1;10
18:04:48;3;17;3;15
18:04:49;1;3;2;5
18:04:50;3;17;1;11
18:04:51;3;17;3;16
18:04:52;1;4;2;6
18:04:53;2;15;1;12
18:04:54;3;17;3;16
18:04:55;1;3;2;6
18:04:56;2;15;1;12
18:04:57;4;23;4;24
18:04:58;1;4;2;6
18:04:59;2;15;1;11
18:05:00;3;17;3;15
18:05:01;1;2;1;3
18:05:02;2;16;2;13
18:05:03;2;13;3;13
18:05:04;1;5;0;3
18:05:05;3;17;3;15
18:05:06;1;3;2;5
18:05:07;2;17;1;13
18:05:08;3;17;3;16
18:05:09;1;4;2;6
18:05:10;2;15;1;11
18:05:11;3;17;3;15
18:05:12;1;3;2;5
18:05:13;2;15;1;11
18:05:14;3;17;3;15
18:05:15;1;3;2;5
18:05:16;2;15;1;11
18:05:17;3;19;3;16
18:05:18;1;3;2;5
18:05:19;2;15;1;12
18:05:20;3;17;3;15
18:05:21;0;1;0;1
18:05:22;4;19;4;19
18:05:23;2;11;2;11
18:05:24;1;8;0;5
18:05:25;3;17;3;15
18:05:26;1;4;2;5
18:05:27;2;15;1;11
18:05:28;3;18;3;16
18:05:29;1;3;2;7
18:05:30;2;15;1;12
18:05:31;3;17;3;15
18:05:32;1;5;2;6
18:05:33;2;15;1;11
18:05:34;3;17;3;15
18:05:35;1;3;2;5
18:05:36;2;15;1;11
18:05:37;3;17;3;15
18:05:38;0;2;1;2
18:05:39;3;17;2;14
18:05:40;3;19;3;15
18:05:41;0;1;0;1
