cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
3,1,2059,3630,16,4,0,0,0,2,0,1,2022-04-30,01:14:57
5,2,2357,4126,56,14,400,83,0,1,0,1,2022-04-30,01:14:58
2,1,1977,3300,0,0,0,0,0,5,0,3,2022-04-30,01:14:59
6,2,2587,5096,32,8,524,20,0,4,0,1,2022-04-30,01:15:00
4,2,2199,3808,24,6,1384,51,0,2,0,1,2022-04-30,01:15:01
3,2,2097,3841,12,3,0,0,0,2,0,1,2022-04-30,01:15:02
3,2,2271,4035,64,16,1694,58,0,2,0,1,2022-04-30,01:15:03
6,3,2924,5453,36,9,140,6,1,4,1,5,2022-04-30,01:15:04
3,1,1947,3586,24,6,76,3,0,1,0,1,2022-04-30,01:15:05
3,1,1998,3564,12,3,0,0,0,2,0,1,2022-04-30,01:15:06
5,2,2109,3734,16,4,0,0,0,1,0,1,2022-04-30,01:15:07
4,2,2255,4143,80,20,828,51,0,1,0,1,2022-04-30,01:15:08
3,1,1761,3252,0,0,0,0,0,2,0,1,2022-04-30,01:15:09
4,2,2423,4729,8,2,536,26,0,1,0,1,2022-04-30,01:15:10
3,1,2062,3594,12,3,1892,60,0,2,0,1,2022-04-30,01:15:11
3,2,2298,4360,32,8,0,0,0,3,0,1,2022-04-30,01:15:12
4,2,2316,4172,24,6,16,2,0,4,0,1,2022-04-30,01:15:13
8,5,3150,5953,1124,277,172,6,0,7,0,3,2022-04-30,01:15:14
3,2,2042,3775,4,1,72,3,0,5,0,1,2022-04-30,01:15:15
3,2,1921,3514,12,3,0,0,0,2,0,1,2022-04-30,01:15:16
4,1,1852,3421,4,1,0,0,0,3,0,1,2022-04-30,01:15:17
2,1,2032,3855,72,13,44,8,0,2,0,1,2022-04-30,01:15:18
4,1,1780,3142,0,0,0,0,0,2,0,1,2022-04-30,01:15:19
6,2,2464,4715,32,8,584,26,0,2,0,1,2022-04-30,01:15:20
7,1,1928,3529,0,0,0,0,0,4,0,1,2022-04-30,01:15:21
4,2,2129,3792,32,8,0,0,0,2,0,1,2022-04-30,01:15:22
3,1,2231,4108,60,10,4,1,0,2,0,1,2022-04-30,01:15:23
4,2,2681,5264,4,1,172,6,0,4,0,3,2022-04-30,01:15:24
4,2,2007,3618,8,2,68,3,0,1,0,1,2022-04-30,01:15:25
3,1,1959,3537,8,2,0,0,0,1,0,1,2022-04-30,01:15:26
3,1,2049,3739,24,6,0,0,0,2,0,1,2022-04-30,01:15:27
3,2,2089,3922,36,9,8,2,0,1,0,1,2022-04-30,01:15:28
4,2,1946,3413,44,11,0,0,1,4,1,5,2022-04-30,01:15:29
7,3,2710,5173,2278,211,567,25,0,2,0,1,2022-04-30,01:15:30
3,1,1886,3398,4,1,0,0,0,1,0,1,2022-04-30,01:15:31
