ID,KBIn,PktIn,KBOut,PktOut,Data_original,Unix_time  
278,0,4,4,1,2022-04-26-3:26:17,1650968777000017
279,0,4,1,0,2022-04-26-3:26:18,1650968778000018
280,0,5,1,0,2022-04-26-3:26:19,1650968779000019
281,0,3,1,0,2022-04-26-3:26:20,165096878000002
282,0,6,4,0,2022-04-26-3:26:21,1650968781000021
283,0,1,1,0,2022-04-26-3:26:22,1650968782000022
284,0,4,1,0,2022-04-26-3:26:23,1650968783000023
285,0,3,1,0,2022-04-26-3:26:24,1650968784000024
286,0,3,1,0,2022-04-26-3:26:25,1650968785000025
287,0,1,1,0,2022-04-26-3:26:26,1650968786000026
288,0,2,2,0,2022-04-26-3:26:27,1650968787000027
289,0,2,1,0,2022-04-26-3:26:28,1650968788000028
290,0,1,1,0,2022-04-26-3:26:29,1650968789000029
291,0,1,1,0,2022-04-26-3:26:30,165096879000003
292,0,4,4,0,2022-04-26-3:26:31,1650968791000031
293,0,2,1,0,2022-04-26-3:26:32,1650968792000032
294,0,1,1,0,2022-04-26-3:26:33,1650968793000033
295,0,1,1,0,2022-04-26-3:26:34,1650968794000034
296,0,2,1,0,2022-04-26-3:26:35,1650968795000035
297,2,11,8,1,2022-04-26-3:26:36,1650968796000036
298,0,6,4,0,2022-04-26-3:26:37,1650968797000037
299,0,4,2,0,2022-04-26-3:26:38,1650968798000038
300,0,4,1,0,2022-04-26-3:26:39,1650968799000039
301,0,4,1,0,2022-04-26-3:26:40,165096880000004
302,0,3,1,0,2022-04-26-3:26:41,1650968801000041
303,0,4,4,0,2022-04-26-3:26:42,1650968802000042
304,0,2,1,0,2022-04-26-3:26:43,1650968803000043
305,0,5,1,0,2022-04-26-3:26:44,1650968804000044
306,0,3,1,0,2022-04-26-3:26:45,1650968805000045
307,0,3,2,0,2022-04-26-3:26:46,1650968806000046
308,0,2,1,0,2022-04-26-3:26:47,1650968807000047
309,0,1,1,0,2022-04-26-3:26:48,1650968808000048
310,0,1,1,0,2022-04-26-3:26:49,1650968809000049
311,0,2,1,0,2022-04-26-3:26:50,165096881000005
312,0,1,1,0,2022-04-26-3:26:51,1650968811000051
313,0,1,1,0,2022-04-26-3:26:52,1650968812000052
